ID_LAT_LON_YEAR_WEEK,emission,pred_1_10,emission_1_10,Cycles,emission_1_10_lag_1,emission_1_10_lag_2
ID_-0.510_29.290_2021_17,3.9489975,4.458967316574536,-0.5099698165745359,-0.12772282563062426,-0.1999865539649397,-0.17794460914962063
ID_-0.510_29.290_2021_18,4.240205,4.446046803611812,-0.20584180361181215,-0.2507357441633101,-0.5099698165745359,-0.1999865539649397
ID_-0.510_29.290_2021_19,4.150236,4.454479125404207,-0.3042431254042075,-0.22799673299660175,-0.20584180361181215,-0.5099698165745359
ID_-0.510_29.290_2021_20,4.26922,4.388245334284285,-0.1190253342842853,-0.17514621762167618,-0.3042431254042075,-0.20584180361181215
ID_-0.510_29.290_2021_21,4.3166842,4.300768740449406,0.015915459550593702,-0.13460080440727268,-0.1190253342842853,-0.3042431254042075
ID_-0.510_29.290_2021_22,4.6027136,4.302880248932296,0.29983335106770426,-0.029176028296720894,0.015915459550593702,-0.1190253342842853
ID_-0.510_29.290_2021_23,4.568914,4.308323814521118,0.2605901854788826,0.1173886029710189,0.29983335106770426,0.015915459550593702
ID_-0.510_29.290_2021_24,4.5951552,4.200389865405833,0.39476533459416707,0.1865031057602657,0.2605901854788826,0.29983335106770426
ID_-0.510_29.290_2021_25,4.521273,4.36556020242,0.15571279757999967,0.22533905154744738,0.39476533459416707,0.2605901854788826
ID_-0.510_29.290_2021_26,4.4686694,4.287780449435058,0.1808889505649418,0.17512756188432652,0.15571279757999967,0.39476533459416707
ID_-0.510_29.290_2021_27,4.4108768,4.0736847753487835,0.3371920246512161,0.1139784882285461,0.1808889505649418,0.15571279757999967
ID_-0.510_29.290_2021_28,4.2935534,3.901723465189839,0.39182993481016126,0.1801589765093195,0.3371920246512161,0.1808889505649418
ID_-0.510_29.290_2021_29,4.2972956,4.0432808329309236,0.25401476706907644,0.2468624113180246,0.39182993481016126,0.3371920246512161
ID_-0.510_29.290_2021_30,4.2626305,4.091020801464351,0.171609698535649,0.21120570926507318,0.25401476706907644,0.39182993481016126
