ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2021_00,3.319557
ID_-0.510_29.290_2021_01,3.9718144
ID_-0.510_29.290_2021_02,4.030769
ID_-0.510_29.290_2021_03,4.0831733
ID_-0.510_29.290_2021_04,4.1617537
ID_-0.510_29.290_2021_05,4.2219296
ID_-0.510_29.290_2021_06,4.178392
ID_-0.510_29.290_2021_07,4.1492796
ID_-0.510_29.290_2021_08,4.253003
ID_-0.510_29.290_2021_09,3.8988216
ID_-0.510_29.290_2021_10,4.3147464
ID_-0.510_29.290_2021_11,4.291719
ID_-0.510_29.290_2021_12,4.2628675
ID_-0.510_29.290_2021_13,4.290064
ID_-0.510_29.290_2021_14,4.3702626
ID_-0.510_29.290_2021_15,4.4227533
ID_-0.510_29.290_2021_16,4.372417
ID_-0.510_29.290_2021_17,3.9489975
ID_-0.510_29.290_2021_18,4.240205
ID_-0.510_29.290_2021_19,4.150236
ID_-0.510_29.290_2021_20,4.26922
ID_-0.510_29.290_2021_21,4.3166842
ID_-0.510_29.290_2021_22,4.6027136
ID_-0.510_29.290_2021_23,4.568914
ID_-0.510_29.290_2021_24,4.5951552
ID_-0.510_29.290_2021_25,4.521273
ID_-0.510_29.290_2021_26,4.4686694
ID_-0.528_29.472_2021_00,3.1273577
ID_-0.528_29.472_2021_01,4.0127482
ID_-0.528_29.472_2021_02,4.0782847
ID_-0.528_29.472_2021_03,4.091718
ID_-0.528_29.472_2021_04,4.2063055
ID_-0.528_29.472_2021_05,4.37001
ID_-0.528_29.472_2021_06,4.2240386
ID_-0.528_29.472_2021_07,4.2735515
ID_-0.528_29.472_2021_08,4.352781
ID_-0.528_29.472_2021_09,3.8026695
ID_-0.528_29.472_2021_10,4.3925557
ID_-0.528_29.472_2021_11,4.414885
ID_-0.528_29.472_2021_12,4.4067955
ID_-0.528_29.472_2021_13,4.429849
ID_-0.528_29.472_2021_14,4.4526834
ID_-0.528_29.472_2021_15,4.3837695
ID_-0.528_29.472_2021_16,4.322206
ID_-0.528_29.472_2021_17,3.9166071
ID_-0.528_29.472_2021_18,4.2034917
ID_-0.528_29.472_2021_19,4.0410075
ID_-0.528_29.472_2021_20,4.1618795
ID_-0.528_29.472_2021_21,4.2472563
ID_-0.528_29.472_2021_22,4.444772
ID_-0.528_29.472_2021_23,4.2752533
ID_-0.528_29.472_2021_24,4.2377763
ID_-0.528_29.472_2021_25,4.17716
ID_-0.528_29.472_2021_26,4.1245365
ID_-0.547_29.653_2021_00,0.46996143
ID_-0.547_29.653_2021_01,0.5360576
ID_-0.547_29.653_2021_02,0.54352707
ID_-0.547_29.653_2021_03,0.5540935
ID_-0.547_29.653_2021_04,0.5614082
ID_-0.547_29.653_2021_05,0.5603935
ID_-0.547_29.653_2021_06,0.56443894
ID_-0.547_29.653_2021_07,0.55282265
ID_-0.547_29.653_2021_08,0.56866854
ID_-0.547_29.653_2021_09,0.5393195
ID_-0.547_29.653_2021_10,0.5802198
ID_-0.547_29.653_2021_11,0.57270193
ID_-0.547_29.653_2021_12,0.56642354
ID_-0.547_29.653_2021_13,0.56994325
ID_-0.547_29.653_2021_14,0.58879435
ID_-0.547_29.653_2021_15,0.607248
ID_-0.547_29.653_2021_16,0.60106367
ID_-0.547_29.653_2021_17,0.54224026
ID_-0.547_29.653_2021_18,0.5819081
ID_-0.547_29.653_2021_19,0.57598
ID_-0.547_29.653_2021_20,0.59172064
ID_-0.547_29.653_2021_21,0.59454054
ID_-0.547_29.653_2021_22,0.64044905
ID_-0.547_29.653_2021_23,0.6485794
ID_-0.547_29.653_2021_24,0.65812427
ID_-0.547_29.653_2021_25,0.64693964
ID_-0.547_29.653_2021_26,0.63974786
ID_-0.569_30.031_2021_00,90.212845
ID_-0.569_30.031_2021_01,104.54189
ID_-0.569_30.031_2021_02,106.75985
ID_-0.569_30.031_2021_03,105.924675
ID_-0.569_30.031_2021_04,108.5174
ID_-0.569_30.031_2021_05,113.949104
ID_-0.569_30.031_2021_06,114.40176
ID_-0.569_30.031_2021_07,112.350235
ID_-0.569_30.031_2021_08,110.242966
ID_-0.569_30.031_2021_09,101.99314
ID_-0.569_30.031_2021_10,120.526985
ID_-0.569_30.031_2021_11,119.43014
ID_-0.569_30.031_2021_12,115.63191
ID_-0.569_30.031_2021_13,111.69118
ID_-0.569_30.031_2021_14,134.38866
ID_-0.569_30.031_2021_15,133.65166
ID_-0.569_30.031_2021_16,128.99937
ID_-0.569_30.031_2021_17,123.11452
ID_-0.569_30.031_2021_18,128.12161
ID_-0.569_30.031_2021_19,120.802666
ID_-0.569_30.031_2021_20,121.88592
ID_-0.569_30.031_2021_21,122.99033
ID_-0.569_30.031_2021_22,119.75377
ID_-0.569_30.031_2021_23,117.14909
ID_-0.569_30.031_2021_24,117.07072
ID_-0.569_30.031_2021_25,116.109825
ID_-0.569_30.031_2021_26,114.36686
ID_-0.598_29.102_2021_00,0.07197588
ID_-0.598_29.102_2021_01,0.08203318
ID_-0.598_29.102_2021_02,0.0831868
ID_-0.598_29.102_2021_03,0.08476966
ID_-0.598_29.102_2021_04,0.08589584
ID_-0.598_29.102_2021_05,0.08582445
ID_-0.598_29.102_2021_06,0.086474754
ID_-0.598_29.102_2021_07,0.08467176
ID_-0.598_29.102_2021_08,0.08701999
ID_-0.598_29.102_2021_09,0.082554236
ID_-0.598_29.102_2021_10,0.08892883
ID_-0.598_29.102_2021_11,0.08776782
ID_-0.598_29.102_2021_12,0.08675627
ID_-0.598_29.102_2021_13,0.087219514
ID_-0.598_29.102_2021_14,0.09043479
ID_-0.598_29.102_2021_15,0.093230866
ID_-0.598_29.102_2021_16,0.092230655
ID_-0.598_29.102_2021_17,0.08328582
ID_-0.598_29.102_2021_18,0.08931254
ID_-0.598_29.102_2021_19,0.08832832
ID_-0.598_29.102_2021_20,0.09070341
ID_-0.598_29.102_2021_21,0.09113068
ID_-0.598_29.102_2021_22,0.0979741
ID_-0.598_29.102_2021_23,0.09919674
ID_-0.598_29.102_2021_24,0.100647695
ID_-0.598_29.102_2021_25,0.09895184
ID_-0.598_29.102_2021_26,0.097845644
ID_-0.604_29.896_2021_00,54.07237
ID_-0.604_29.896_2021_01,63.8382
ID_-0.604_29.896_2021_02,65.04512
ID_-0.604_29.896_2021_03,64.47877
ID_-0.604_29.896_2021_04,66.14239
ID_-0.604_29.896_2021_05,69.59957
ID_-0.604_29.896_2021_06,69.311424
ID_-0.604_29.896_2021_07,68.32376
ID_-0.604_29.896_2021_08,67.39145
ID_-0.604_29.896_2021_09,61.80148
ID_-0.604_29.896_2021_10,72.89449
ID_-0.604_29.896_2021_11,72.53806
ID_-0.604_29.896_2021_12,70.64186
ID_-0.604_29.896_2021_13,68.58865
ID_-0.604_29.896_2021_14,80.41469
ID_-0.604_29.896_2021_15,79.561264
ID_-0.604_29.896_2021_16,76.97516
ID_-0.604_29.896_2021_17,73.38874
ID_-0.604_29.896_2021_18,76.27909
ID_-0.604_29.896_2021_19,72.0244
ID_-0.604_29.896_2021_20,72.852036
ID_-0.604_29.896_2021_21,73.73521
ID_-0.604_29.896_2021_22,72.25502
ID_-0.604_29.896_2021_23,70.28154
