ID_LAT_LON_YEAR_WEEK,Location,WeekCount,date,emission,CommonTrend,Trend,emission_02,Seasonality,emission_03
ID_-0.510_29.290_2021_16,-0.5129.29,122,2021-04-23,4.372417,44.215682693199014,4.221253712576197,0.15116328742380336,-0.497134112595572,0.6482974000193753
ID_-0.510_29.290_2021_17,-0.5129.29,123,2021-04-30,3.9489975,44.268289768157466,4.226999727590522,-0.2780022275905223,-0.5979103248563519,0.3199080972658296
ID_-0.510_29.290_2021_18,-0.5129.29,124,2021-05-07,4.240205,44.32265590531311,4.232875783777791,0.007329216222208501,-0.5365391149251916,0.5438683311474001
ID_-0.510_29.290_2021_19,-0.5129.29,125,2021-05-14,4.150236,44.378781104665954,4.2388818811380045,-0.08864588113800487,-0.38326004218186843,0.29461416104386356
ID_-0.510_29.290_2021_20,-0.5129.29,126,2021-05-21,4.26922,44.43666536621599,4.245018019671162,0.024201980328837358,-0.34976897774971066,0.373970958078548
ID_-0.510_29.290_2021_21,-0.5129.29,127,2021-05-28,4.3166842,44.49630868996322,4.251284199377264,0.06540000062273599,-0.4553133218368753,0.5207133224596112
ID_-0.510_29.290_2021_22,-0.5129.29,128,2021-06-04,4.6027136,44.557711075907655,4.25768042025631,0.3450331797436901,-0.48276647198933204,0.8277996517330222
ID_-0.510_29.290_2021_23,-0.5129.29,129,2021-06-11,4.568914,44.620872524049275,4.2642066823083,0.3047073176917001,-0.3077410503525462,0.6124483680442463
ID_-0.510_29.290_2021_24,-0.5129.29,130,2021-06-18,4.5951552,44.68579303438809,4.270862985533235,0.32429221446676504,-0.08249803513133179,0.40679024959809684
ID_-0.510_29.290_2021_25,-0.5129.29,131,2021-06-25,4.521273,44.7524726069241,4.277649329931114,0.24362367006888608,0.002317327651605707,0.24130634241728038
ID_-0.510_29.290_2021_26,-0.5129.29,132,2021-07-02,4.4686694,44.82091124165731,4.284565715501938,0.18410368449806125,-0.019679489593261906,0.20378317409132315
ID_-0.510_29.290_2021_27,-0.5129.29,133,2021-07-09,4.4108768,44.89110893858771,4.291612142245706,0.11926465775429396,-0.0018809053031735973,0.12114556305746756
ID_-0.510_29.290_2021_28,-0.5129.29,134,2021-07-16,4.2935534,44.963065697715315,4.2987886101624175,-0.0052352101624171254,0.06273526128681067,-0.0679704714492278
ID_-0.510_29.290_2021_29,-0.5129.29,135,2021-07-23,4.2972956,45.036781519040105,4.306095119252074,-0.008799519252074006,0.07200484262404284,-0.08080436187611685
ID_-0.510_29.290_2021_30,-0.5129.29,136,2021-07-30,4.2626305,45.112256402562096,4.313531669514674,-0.05090116951467394,0.031928908501817045,-0.08283007801649098
ID_-0.510_29.290_2021_31,-0.5129.29,137,2021-08-06,4.7547274,45.18949034828128,4.32109826095022,0.4336291390497804,0.05992209057218304,0.37370704847759734
ID_-0.510_29.290_2021_32,-0.5129.29,138,2021-08-13,4.622899,45.26848335619766,4.328794893558708,0.29410410644129215,0.17886598812261664,0.1152381183186755
ID_-0.510_29.290_2021_33,-0.5129.29,139,2021-08-20,4.6112924,45.34923542631123,4.336621567340143,0.27467083265985703,0.2769741258327229,-0.0023032931728658723
ID_-0.510_29.290_2021_34,-0.5129.29,140,2021-08-27,4.574137,45.431746558622,4.3445782822945205,0.22955871770547986,0.30158212164758913,-0.07202340394210927
