ID_LAT_LON_YEAR_WEEK,Location,WeekCount,date,emission,CommonTrend,Trend,emission_02
ID_-0.510_29.290_2021_16,-0.5129.29,122,2021-04-23,4.372417,44.215682693199014,4.221253712576197,0.15116328742380336
ID_-0.510_29.290_2021_17,-0.5129.29,123,2021-04-30,3.9489975,44.268289768157466,4.226999727590522,-0.2780022275905223
ID_-0.510_29.290_2021_18,-0.5129.29,124,2021-05-07,4.240205,44.32265590531311,4.232875783777791,0.007329216222208501
ID_-0.510_29.290_2021_19,-0.5129.29,125,2021-05-14,4.150236,44.378781104665954,4.2388818811380045,-0.08864588113800487
ID_-0.510_29.290_2021_20,-0.5129.29,126,2021-05-21,4.26922,44.43666536621599,4.245018019671162,0.024201980328837358
ID_-0.510_29.290_2021_21,-0.5129.29,127,2021-05-28,4.3166842,44.49630868996322,4.251284199377264,0.06540000062273599
ID_-0.510_29.290_2021_22,-0.5129.29,128,2021-06-04,4.6027136,44.557711075907655,4.25768042025631,0.3450331797436901
ID_-0.510_29.290_2021_23,-0.5129.29,129,2021-06-11,4.568914,44.620872524049275,4.2642066823083,0.3047073176917001
ID_-0.510_29.290_2021_24,-0.5129.29,130,2021-06-18,4.5951552,44.68579303438809,4.270862985533235,0.32429221446676504
ID_-0.510_29.290_2021_25,-0.5129.29,131,2021-06-25,4.521273,44.7524726069241,4.277649329931114,0.24362367006888608
ID_-0.510_29.290_2021_26,-0.5129.29,132,2021-07-02,4.4686694,44.82091124165731,4.284565715501938,0.18410368449806125
ID_-0.510_29.290_2021_27,-0.5129.29,133,2021-07-09,4.4108768,44.89110893858771,4.291612142245706,0.11926465775429396
ID_-0.510_29.290_2021_28,-0.5129.29,134,2021-07-16,4.2935534,44.963065697715315,4.2987886101624175,-0.0052352101624171254
ID_-0.510_29.290_2021_29,-0.5129.29,135,2021-07-23,4.2972956,45.036781519040105,4.306095119252074,-0.008799519252074006
ID_-0.510_29.290_2021_30,-0.5129.29,136,2021-07-30,4.2626305,45.112256402562096,4.313531669514674,-0.05090116951467394
ID_-0.510_29.290_2021_31,-0.5129.29,137,2021-08-06,4.7547274,45.18949034828128,4.32109826095022,0.4336291390497804
ID_-0.510_29.290_2021_32,-0.5129.29,138,2021-08-13,4.622899,45.26848335619766,4.328794893558708,0.29410410644129215
ID_-0.510_29.290_2021_33,-0.5129.29,139,2021-08-20,4.6112924,45.34923542631123,4.336621567340143,0.27467083265985703
ID_-0.510_29.290_2021_34,-0.5129.29,140,2021-08-27,4.574137,45.431746558622,4.3445782822945205,0.22955871770547986
ID_-0.510_29.290_2021_35,-0.5129.29,141,2021-09-03,4.614078,45.51601675312997,4.352665038421843,0.2614129615781575
ID_-0.510_29.290_2021_36,-0.5129.29,142,2021-09-10,4.782577,45.602046009835135,4.360881835722109,0.42169516427789056
ID_-0.510_29.290_2021_37,-0.5129.29,143,2021-09-17,4.8733826,45.68983432873748,4.36922867419532,0.5041539258046805
ID_-0.510_29.290_2021_38,-0.5129.29,144,2021-09-24,4.7891746,45.77938170983704,4.377705553841475,0.4114690461585253
ID_-0.510_29.290_2021_39,-0.5129.29,145,2021-10-01,4.6036496,45.870688153133784,4.386312474660574,0.21733712533942562
ID_-0.510_29.290_2021_40,-0.5129.29,146,2021-10-08,4.506435,45.963753658627724,4.395049436652617,0.11138556334738237
ID_-0.510_29.290_2021_41,-0.5129.29,147,2021-10-15,4.5362616,46.058578226318865,4.403916439817606,0.1323451601823935
ID_-0.510_29.290_2021_42,-0.5129.29,148,2021-10-22,4.565994,46.155161856207194,4.412913484155538,0.15308051584446147
ID_-0.510_29.290_2021_43,-0.5129.29,149,2021-10-29,4.629182,46.253504548292725,4.422040569666415,0.2071414303335848
ID_-0.510_29.290_2021_44,-0.5129.29,150,2021-11-05,4.6002717,46.35360630257544,4.431297696350236,0.16897400364976445
ID_-0.510_29.290_2021_45,-0.5129.29,151,2021-11-12,4.6520076,46.45546711905536,4.440684864207001,0.21132273579299898
ID_-0.510_29.290_2021_46,-0.5129.29,152,2021-11-19,4.6414285,46.55908699773248,4.450202073236711,0.19122642676328905
ID_-0.510_29.290_2021_47,-0.5129.29,153,2021-11-26,4.743777,46.66446593860678,4.459849323439364,0.28392767656063533
ID_-0.510_29.290_2021_48,-0.5129.29,154,2021-12-03,4.73688,46.771603941678286,4.469626614814962,0.26725338518503783
ID_-0.510_29.290_2021_49,-0.5129.29,155,2021-12-10,4.687898,46.880501006946986,4.479533947363506,0.20836405263649382
ID_-0.510_29.290_2021_50,-0.5129.29,156,2021-12-17,4.6074176,46.99115713441288,4.489571321084992,0.11784627891500765
ID_-0.510_29.290_2021_51,-0.5129.29,157,2021-12-24,4.470275,47.10357232407597,4.499738735979424,-0.029463735979423866
ID_-0.510_29.290_2021_52,-0.5129.29,158,2021-12-31,4.26951,47.21774657593625,4.510036192046799,-0.24052619204679893
ID_-0.528_29.472_2021_16,-0.52829.472,122,2021-04-23,4.322206,44.215682693199014,4.273949342423087,0.04825665757691322
ID_-0.528_29.472_2021_17,-0.52829.472,123,2021-04-30,3.9166071,44.268289768157466,4.287707914425526,-0.3711008144255259
ID_-0.528_29.472_2021_18,-0.52829.472,124,2021-05-07,4.2034917,44.32265590531311,4.301746818692021,-0.09825511869202153
ID_-0.528_29.472_2021_19,-0.52829.472,125,2021-05-14,4.0410075,44.378781104665954,4.316066055222576,-0.27505855522257594
ID_-0.528_29.472_2021_20,-0.52829.472,126,2021-05-21,4.1618795,44.43666536621599,4.330665624017188,-0.1687861240171875
ID_-0.528_29.472_2021_21,-0.52829.472,127,2021-05-28,4.2472563,44.49630868996322,4.345545525075858,-0.0982892250758578
ID_-0.528_29.472_2021_22,-0.52829.472,128,2021-06-04,4.444772,44.557711075907655,4.360705758398585,0.08406624160141529
ID_-0.528_29.472_2021_23,-0.52829.472,129,2021-06-11,4.2752533,44.620872524049275,4.37614632398537,-0.10089302398537026
ID_-0.528_29.472_2021_24,-0.52829.472,130,2021-06-18,4.2377763,44.68579303438809,4.391867221836214,-0.15409092183621365
ID_-0.528_29.472_2021_25,-0.52829.472,131,2021-06-25,4.17716,44.7524726069241,4.407868451951114,-0.23070845195111467
ID_-0.528_29.472_2021_26,-0.52829.472,132,2021-07-02,4.1245365,44.82091124165731,4.424150014330074,-0.29961351433007444
ID_-0.528_29.472_2021_27,-0.52829.472,133,2021-07-09,4.003774,44.89110893858771,4.440711908973091,-0.4369379089730909
ID_-0.528_29.472_2021_28,-0.52829.472,134,2021-07-16,3.9517987,44.963065697715315,4.457554135880166,-0.5057554358801659
ID_-0.528_29.472_2021_29,-0.52829.472,135,2021-07-23,3.8421042,45.036781519040105,4.474676695051298,-0.6325724950512979
ID_-0.528_29.472_2021_30,-0.52829.472,136,2021-07-30,3.932843,45.112256402562096,4.492079586486488,-0.5592365864864881
