ID_LAT_LON_YEAR_WEEK,emission_pred_2_04,week_no_enc,week_no,year,Location_enc,latitude
ID_-0.510_29.290_2021_00,3.8384890625506793,72.08800313024554,0.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_01,3.876337385394775,80.8857731675051,1.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_02,3.969062060542344,83.06136411762462,2.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_03,4.066841708390475,83.51770443228028,3.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_04,4.122675218232477,84.68930439261348,4.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_05,4.2624627342105805,85.61884000228967,5.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_06,4.223141176802036,84.98452736903467,6.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_07,4.150784942344963,84.30321034046915,7.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_08,4.101646299667929,84.93675058164467,8.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_09,4.125371847912868,80.40875279967149,9.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_10,4.181741927582766,80.69696791766431,10.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_11,4.298960206271711,81.49028955057274,11.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_12,4.340005910892793,81.56611833708078,12.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_13,4.26580996083477,77.5835042555345,13.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_14,4.358741121735152,122.23192209050836,14.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_15,4.367741767670783,116.84524664410162,15.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_16,4.300602077439423,112.94550310360472,16.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_17,4.154137310553886,81.3575846474316,17.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_18,4.1931706501481205,82.27234569835896,18.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_19,4.149585124552221,80.51411342429648,19.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_20,4.208510070283911,80.53484445668914,20.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_21,4.3385893537002085,77.93688206389336,21.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_22,4.503389158126976,78.9882058460834,22.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_23,4.632497556577073,77.62959315160674,23.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_24,4.685106156493388,77.67167359449466,24.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_25,4.586164554709375,77.25668500530041,25.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_26,4.347465162017099,77.30978998388008,26.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_27,4.333182817884737,75.59777316005332,27.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_28,4.33509226794911,75.09555228410815,28.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_29,4.361683240689042,74.16280320718602,29.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_30,4.375861007437725,74.62503885481237,30.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_31,4.562416420657812,78.12677043099477,31.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_32,4.607715341388668,77.52143436297234,32.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_33,4.6503171483669385,77.28367400556317,33.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_34,4.727686234805543,77.7922607366516,34.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_35,4.768552461542445,79.20056681238277,35.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_36,4.841423594239886,79.36668999785084,36.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_37,4.879884725935566,79.98549170693762,37.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_38,4.838577690291434,80.84332628770402,38.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_39,4.6288743183685295,86.38816527850892,39.0,2021.0,4.377784993333333,-0.51
ID_-0.510_29.290_2021_40,4.642147341467608,103.58734888466331,40.0,2021.0,4.377784993333333,-0.51
