ID_LAT_LON_YEAR_WEEK,Location_week_no_enc,year
ID_-0.510_29.290_2019_00,3.6080506,2019.0
ID_-0.510_29.290_2019_01,4.0163188666666665,2019.0
ID_-0.510_29.290_2019_02,4.138755333333333,2019.0
ID_-0.510_29.290_2019_03,4.184736766666667,2019.0
ID_-0.510_29.290_2019_04,4.247568566666667,2019.0
ID_-0.510_29.290_2019_05,4.2390931,2019.0
ID_-0.510_29.290_2019_06,4.231409233333333,2019.0
ID_-0.510_29.290_2019_07,4.213847366666666,2019.0
ID_-0.510_29.290_2019_08,4.260713366666667,2019.0
ID_-0.510_29.290_2019_09,4.171833666666667,2019.0
ID_-0.510_29.290_2019_10,4.234933300000001,2019.0
ID_-0.510_29.290_2019_11,4.2645588,2019.0
ID_-0.510_29.290_2019_12,4.2848804,2019.0
ID_-0.510_29.290_2019_13,4.09921035,2019.0
ID_-0.510_29.290_2019_14,4.4427303,2019.0
ID_-0.510_29.290_2019_15,4.37557165,2019.0
ID_-0.510_29.290_2019_16,4.395462500000001,2019.0
ID_-0.510_29.290_2019_17,4.2219796,2019.0
ID_-0.510_29.290_2019_18,4.35864125,2019.0
ID_-0.510_29.290_2019_19,4.3353565,2019.0
ID_-0.510_29.290_2019_20,4.364395699999999,2019.0
ID_-0.510_29.290_2019_21,4.3017621,2019.0
ID_-0.510_29.290_2019_22,4.4765243,2019.0
ID_-0.510_29.290_2019_23,4.450749,2019.0
ID_-0.510_29.290_2019_24,4.5017911,2019.0
ID_-0.510_29.290_2019_25,4.4588325,2019.0
ID_-0.510_29.290_2019_26,4.51090095,2019.0
ID_-0.510_29.290_2019_27,4.43220905,2019.0
ID_-0.510_29.290_2019_28,4.3659153,2019.0
ID_-0.510_29.290_2019_29,4.36765265,2019.0
ID_-0.510_29.290_2019_30,4.33337645,2019.0
ID_-0.510_29.290_2019_31,4.6884406,2019.0
ID_-0.510_29.290_2019_32,4.6298770000000005,2019.0
ID_-0.510_29.290_2019_33,4.5958052,2019.0
ID_-0.510_29.290_2019_34,4.577075000000001,2019.0
ID_-0.510_29.290_2019_35,4.715468733333334,2019.0
ID_-0.510_29.290_2019_36,4.685423533333334,2019.0
ID_-0.510_29.290_2019_37,4.6907671,2019.0
ID_-0.510_29.290_2019_38,4.687648533333333,2019.0
ID_-0.510_29.290_2019_39,4.5632974,2019.0
ID_-0.510_29.290_2019_40,4.439162433333333,2019.0
ID_-0.510_29.290_2019_41,4.4333536,2019.0
ID_-0.510_29.290_2019_42,4.4931133333333335,2019.0
ID_-0.510_29.290_2019_43,4.5307643,2019.0
ID_-0.510_29.290_2019_44,4.4251524,2019.0
ID_-0.510_29.290_2019_45,4.477663066666668,2019.0
ID_-0.510_29.290_2019_46,4.5040811,2019.0
ID_-0.510_29.290_2019_47,4.5865778,2019.0
ID_-0.510_29.290_2019_48,4.450652033333333,2019.0
ID_-0.510_29.290_2019_49,4.4439641666666665,2019.0
ID_-0.510_29.290_2019_50,4.4678011,2019.0
ID_-0.510_29.290_2019_51,4.198552,2019.0
ID_-0.510_29.290_2019_52,4.103823066666667,2019.0
ID_-0.510_29.290_2020_00,3.6080506,2020.0
ID_-0.510_29.290_2020_01,4.0163188666666665,2020.0
ID_-0.510_29.290_2020_02,4.138755333333333,2020.0
ID_-0.510_29.290_2020_03,4.184736766666667,2020.0
ID_-0.510_29.290_2020_04,4.247568566666667,2020.0
ID_-0.510_29.290_2020_05,4.2390931,2020.0
ID_-0.510_29.290_2020_06,4.231409233333333,2020.0
ID_-0.510_29.290_2020_07,4.213847366666666,2020.0
ID_-0.510_29.290_2020_08,4.260713366666667,2020.0
ID_-0.510_29.290_2020_09,4.171833666666667,2020.0
ID_-0.510_29.290_2020_10,4.234933300000001,2020.0
ID_-0.510_29.290_2020_35,4.715468733333334,2020.0
ID_-0.510_29.290_2020_36,4.685423533333334,2020.0
ID_-0.510_29.290_2020_37,4.6907671,2020.0
ID_-0.510_29.290_2020_38,4.687648533333333,2020.0
ID_-0.510_29.290_2020_39,4.5632974,2020.0
ID_-0.510_29.290_2020_40,4.439162433333333,2020.0
ID_-0.510_29.290_2020_41,4.4333536,2020.0
ID_-0.510_29.290_2020_42,4.4931133333333335,2020.0
ID_-0.510_29.290_2020_43,4.5307643,2020.0
ID_-0.510_29.290_2020_44,4.4251524,2020.0
ID_-0.510_29.290_2020_45,4.477663066666668,2020.0
ID_-0.510_29.290_2020_46,4.5040811,2020.0
ID_-0.510_29.290_2020_47,4.5865778,2020.0
ID_-0.510_29.290_2020_48,4.450652033333333,2020.0
ID_-0.510_29.290_2020_49,4.4439641666666665,2020.0
ID_-0.510_29.290_2020_50,4.4678011,2020.0
ID_-0.510_29.290_2020_51,4.198552,2020.0
ID_-0.510_29.290_2020_52,4.103823066666667,2020.0
ID_-0.528_29.472_2019_00,3.665986133333334,2019.0
ID_-0.528_29.472_2019_01,4.2143972666666665,2019.0
ID_-0.528_29.472_2019_02,4.355114466666667,2019.0
ID_-0.528_29.472_2019_03,4.376957666666667,2019.0
ID_-0.528_29.472_2019_04,4.458651866666667,2019.0
ID_-0.528_29.472_2019_05,4.450705766666666,2019.0
ID_-0.528_29.472_2019_06,4.415136400000001,2019.0
ID_-0.528_29.472_2019_07,4.393498666666667,2019.0
ID_-0.528_29.472_2019_08,4.4567391333333335,2019.0
ID_-0.528_29.472_2019_09,4.263671933333334,2019.0
ID_-0.528_29.472_2019_10,4.3620318,2019.0
ID_-0.528_29.472_2019_11,4.4380507,2019.0
ID_-0.528_29.472_2019_12,4.4699669,2019.0
ID_-0.528_29.472_2019_13,4.227589,2019.0
ID_-0.528_29.472_2019_14,4.540601,2019.0
ID_-0.528_29.472_2019_15,4.40290405,2019.0
ID_-0.528_29.472_2019_16,4.41698765,2019.0
ID_-0.528_29.472_2019_17,4.28154305,2019.0
ID_-0.528_29.472_2019_18,4.3539491,2019.0
ID_-0.528_29.472_2019_19,4.28647255,2019.0
ID_-0.528_29.472_2019_20,4.31205475,2019.0
ID_-0.528_29.472_2019_21,4.17967465,2019.0
ID_-0.528_29.472_2019_22,4.2891582,2019.0
ID_-0.528_29.472_2019_23,4.20014965,2019.0
ID_-0.528_29.472_2019_24,4.19956815,2019.0
ID_-0.528_29.472_2019_25,4.1663612,2019.0
ID_-0.528_29.472_2019_26,4.188519749999999,2019.0
ID_-0.528_29.472_2019_27,4.0796785,2019.0
ID_-0.528_29.472_2019_28,4.05001285,2019.0
ID_-0.528_29.472_2019_29,3.99508225,2019.0
ID_-0.528_29.472_2019_30,4.0209297,2019.0
ID_-0.528_29.472_2019_31,4.2510653000000005,2019.0
ID_-0.528_29.472_2019_32,4.21102835,2019.0
ID_-0.528_29.472_2019_33,4.192247,2019.0
ID_-0.528_29.472_2019_34,4.2181616,2019.0
ID_-0.528_29.472_2019_35,4.3427143,2019.0
ID_-0.528_29.472_2019_36,4.332624333333333,2019.0
ID_-0.528_29.472_2019_37,4.3558555,2019.0
ID_-0.528_29.472_2019_38,4.3882870333333335,2019.0
ID_-0.528_29.472_2019_39,4.261714766666667,2019.0
ID_-0.528_29.472_2019_40,4.267502166666667,2019.0
ID_-0.528_29.472_2019_41,4.2527879,2019.0
ID_-0.528_29.472_2019_42,4.385155233333333,2019.0
ID_-0.528_29.472_2019_43,4.4992426666666665,2019.0
ID_-0.528_29.472_2019_44,4.4855561,2019.0
ID_-0.528_29.472_2019_45,4.4976918333333336,2019.0
ID_-0.528_29.472_2019_46,4.5122010333333336,2019.0
ID_-0.528_29.472_2019_47,4.535128666666666,2019.0
ID_-0.528_29.472_2019_48,4.518470099999999,2019.0
ID_-0.528_29.472_2019_49,4.5734541,2019.0
ID_-0.528_29.472_2019_50,4.585223466666666,2019.0
ID_-0.528_29.472_2019_51,4.255349266666667,2019.0
ID_-0.528_29.472_2019_52,4.216588466666667,2019.0
ID_-0.528_29.472_2020_00,3.665986133333334,2020.0
ID_-0.528_29.472_2020_01,4.2143972666666665,2020.0
ID_-0.528_29.472_2020_02,4.355114466666667,2020.0
ID_-0.528_29.472_2020_03,4.376957666666667,2020.0
ID_-0.528_29.472_2020_04,4.458651866666667,2020.0
ID_-0.528_29.472_2020_05,4.450705766666666,2020.0
ID_-0.528_29.472_2020_06,4.415136400000001,2020.0
ID_-0.528_29.472_2020_07,4.393498666666667,2020.0
ID_-0.528_29.472_2020_08,4.4567391333333335,2020.0
ID_-0.528_29.472_2020_09,4.263671933333334,2020.0
ID_-0.528_29.472_2020_10,4.3620318,2020.0
ID_-0.528_29.472_2020_35,4.3427143,2020.0
ID_-0.528_29.472_2020_36,4.332624333333333,2020.0
ID_-0.528_29.472_2020_37,4.3558555,2020.0
