ID_LAT_LON_YEAR_WEEK,Location,WeekCount,date,emission,CommonTrend,Trend,emission_02,Seasonality,emission_03,emission_03_lag_1,Cycles,Cycles_forecast
ID_-0.510_29.290_2021_16,-0.5129.29,122,2021-04-23,4.372417,44.21568269319901,4.304294530373732,0.0681224696262683,-0.3164514532850346,0.3845739229113029,0.4358474185444405,0.3278913252470996,0.3292551338672638
ID_-0.510_29.290_2021_17,-0.5129.29,123,2021-04-30,3.9489975,44.268289768157466,4.3129447907281255,-0.3639472907281256,-0.3194479307217112,-0.0444993600064143,0.3845739229113029,0.2893178848230475,0.2807287871837616
ID_-0.510_29.290_2021_18,-0.5129.29,124,2021-05-07,4.240205,44.32265590531311,4.32176542418649,-0.08156042418649,-0.3170635189721976,0.2355030947857076,-0.0444993600064143,-0.0334772067111904,-0.03726689890027046
ID_-0.510_29.290_2021_19,-0.5129.29,125,2021-05-14,4.150236,44.378781104665954,4.330756430748824,-0.1805204307488246,-0.3086202257360444,0.1280997949872198,0.2355030947857076,0.1771707679420509,0.14543867111206055
ID_-0.510_29.290_2021_20,-0.5129.29,126,2021-05-21,4.26922,44.43666536621599,4.3399178104151295,-0.0706978104151296,-0.2936485850631359,0.2229507746480062,0.1280997949872198,0.0963704492790485,0.05356251820921898
ID_-0.510_29.290_2021_21,-0.5129.29,127,2021-05-28,4.3166842,44.49630868996322,4.3492495631854045,-0.0325653631854043,-0.2719295028668541,0.2393641396814497,0.2229507746480062,0.1677275621095558,0.12157387286424637
ID_-0.510_29.290_2021_22,-0.5129.29,128,2021-06-04,4.6027136,44.557711075907655,4.35875168905965,0.2439619109403503,-0.2435234723000636,0.487485383240414,0.2393641396814497,0.1800754613596037,0.12833590805530548
ID_-0.510_29.290_2021_23,-0.5129.29,129,2021-06-11,4.568914,44.62087252404928,4.368424188037867,0.2004898119621332,-0.2087852303054005,0.4092750422675337,0.487485383240414,0.3667389585169506,0.2773873805999756
ID_-0.510_29.290_2021_24,-0.5129.29,130,2021-06-18,4.5951552,44.68579303438809,4.378267060120053,0.2168881398799467,-0.1683627449271963,0.385250884807143,0.4092750422675337,0.3079007246339376,0.2403773069381714
ID_-0.510_29.290_2021_25,-0.5129.29,131,2021-06-25,4.521273,44.7524726069241,4.3882803053062105,0.1329926946937893,-0.1231803092479804,0.2561730039417698,0.385250884807143,0.2898271684019433,0.2271171510219574
ID_-0.510_29.290_2021_26,-0.5129.29,132,2021-07-02,4.4686694,44.82091124165731,4.398463923596338,0.0702054764036619,-0.0744064211426563,0.1446118975463183,0.2561730039417698,0.1927208976836759,0.1690111756324768
ID_-0.510_29.290_2021_27,-0.5129.29,133,2021-07-09,4.4108768,44.89110893858771,4.408817914990435,0.0020588850095641,-0.0234079964377194,0.0254668814472836,0.1446118975463183,0.1087926295200147,0.09606160968542099
ID_-0.510_29.290_2021_28,-0.5129.29,134,2021-07-16,4.2935534,44.96306569771532,4.419342279488504,-0.1257888794885033,0.0283067535125401,-0.1540956330010435,0.0254668814472836,0.0191589284514924,0.051099251955747604
ID_-0.510_29.290_2021_29,-0.5129.29,135,2021-07-23,4.2972956,45.036781519040105,4.430037017090543,-0.1327414170905427,0.0791537955535481,-0.2118952126440909,-0.1540956330010435,-0.1159273157754196,-0.07145876437425613
ID_-0.510_29.290_2021_30,-0.5129.29,136,2021-07-30,4.2626305,45.112256402562096,4.440902127796552,-0.1782716277965512,0.1275436301030805,-0.3058152578996317,-0.2118952126440909,-0.1594103787959057,-0.08671016246080399
ID_-0.510_29.290_2021_31,-0.5129.29,137,2021-08-06,4.7547274,45.18949034828128,4.451937611606531,0.3027897883934694,0.1719527691128578,0.1308370192806115,-0.3058152578996317,-0.2300671425985961,-0.15098947286605835
ID_-0.510_29.290_2021_32,-0.5129.29,138,2021-08-13,4.622899,45.26848335619766,4.46314346852048,0.1597555314795204,0.2109925009792105,-0.05123696949969,0.1308370192806115,0.0984296839168402,0.020105943083763123
ID_-0.510_29.290_2021_33,-0.5129.29,139,2021-08-20,4.6112924,45.34923542631123,4.4745196985384,0.1367727014615996,0.2434712475892437,-0.1066985461276441,-0.05123696949969,-0.0385459615362745,-0.057235922664403915
