ID_LAT_LON_YEAR_WEEK,Location_week_no_enc,week_no_enc,week_no,year,Ozone_O3_column_number_density,Location_enc,latitude,emission,pred_1_train,Max_x_groups_train
ID_-0.510_29.290_2021_00,3.6080506,72.08800313024554,0.0,2021.0,0.1158150210976316,4.377784993333333,-0.51,3.319557,3.9650342952826287,3.4983557592000003
ID_-0.510_29.290_2021_01,4.0163188666666665,80.8857731675051,1.0,2021.0,0.1124546485695712,4.377784993333333,-0.51,3.9718144,4.086611525384601,3.7764320324
ID_-0.510_29.290_2021_02,4.138755333333333,83.06136411762462,2.0,2021.0,0.1121899428657758,4.377784993333333,-0.51,4.030769,4.06888820385197,3.943647092
ID_-0.510_29.290_2021_03,4.184736766666667,83.51770443228028,3.0,2021.0,0.1109213958004072,4.377784993333333,-0.51,4.0831733,4.175042493265053,4.012526086
ID_-0.510_29.290_2021_04,4.247568566666667,84.68930439261348,4.0,2021.0,0.1131948052116383,4.377784993333333,-0.51,4.1617537,4.160363016101786,4.0516994440000005
ID_-0.510_29.290_2021_05,4.2390931,85.61884000228967,5.0,2021.0,0.1160921192618969,4.377784993333333,-0.51,4.2219296,4.113363119984328,4.0176830284
ID_-0.510_29.290_2021_06,4.231409233333333,84.98452736903467,6.0,2021.0,0.1165394338797788,4.377784993333333,-0.51,4.178392,4.274939104514914,3.9790195676
ID_-0.510_29.290_2021_07,4.213847366666666,84.30321034046915,7.0,2021.0,0.1173972697133549,4.377784993333333,-0.51,4.1492796,4.1763054965808655,3.962268452
ID_-0.510_29.290_2021_08,4.260713366666667,84.93675058164467,8.0,2021.0,0.117464642265733,4.377784993333333,-0.51,4.253003,4.05270056628934,3.9907649112
ID_-0.510_29.290_2021_09,4.171833666666667,80.40875279967149,9.0,2021.0,0.1170516858129601,4.377784993333333,-0.51,3.8988216,4.541242329937264,4.0569339288
ID_-0.510_29.290_2021_10,4.234933300000001,80.69696791766431,10.0,2021.0,0.1178360159503724,4.377784993333333,-0.51,4.3147464,4.0623920165452105,4.012655168
ID_-0.510_29.290_2021_11,4.2645588,81.49028955057274,11.0,2021.0,0.1220651041934229,4.377784993333333,-0.51,4.291719,3.9042045526073386,3.9492554952
ID_-0.510_29.290_2021_12,4.2848804,81.56611833708078,12.0,2021.0,0.1216549615056732,4.377784993333333,-0.51,4.2628675,4.095169660308612,4.0140245556
ID_-0.510_29.290_2021_13,4.09921035,77.5835042555345,13.0,2021.0,0.1201025568795315,4.377784993333333,-0.51,4.290064,3.923878492633172,3.6425884444
ID_-0.510_29.290_2021_14,4.4427303,122.23192209050836,14.0,2021.0,0.1198514501101774,4.377784993333333,-0.51,4.3702626,4.223676622485361,4.208164536
ID_-0.510_29.290_2021_15,4.37557165,116.84524664410162,15.0,2021.0,0.121292131361993,4.377784993333333,-0.51,4.4227533,4.383897873469725,4.03405948
ID_-0.510_29.290_2021_16,4.395462500000001,112.94550310360472,16.0,2021.0,0.1206122706842759,4.377784993333333,-0.51,4.372417,4.019327188398384,4.1180494560000005
ID_-0.510_29.290_2021_17,4.2219796,81.3575846474316,17.0,2021.0,0.1189853652569667,4.377784993333333,-0.51,3.9489975,4.665412508950738,4.1893043044
ID_-0.510_29.290_2021_18,4.35864125,82.27234569835896,18.0,2021.0,0.1186558289866006,4.377784993333333,-0.51,4.240205,4.707316358199277,4.17263623
ID_-0.510_29.290_2021_19,4.3353565,80.51411342429648,19.0,2021.0,0.1145235660383346,4.377784993333333,-0.51,4.150236,4.651300180409923,4.213084564
ID_-0.510_29.290_2021_20,4.364395699999999,80.53484445668914,20.0,2021.0,0.1146876863198977,4.377784993333333,-0.51,4.26922,4.538345701884002,4.1563205448
ID_-0.510_29.290_2021_21,4.3017621,77.93688206389336,21.0,2021.0,0.1159998850236971,4.377784993333333,-0.51,4.3166842,4.133653215531948,3.99533488
ID_-0.510_29.290_2021_22,4.4765243,78.9882058460834,22.0,2021.0,0.1182674406062086,4.377784993333333,-0.51,4.6027136,4.1592205907529065,4.05451222
ID_-0.510_29.290_2021_23,4.450749,77.62959315160674,23.0,2021.0,0.1178068855369885,4.377784993333333,-0.51,4.568914,4.18403085345863,4.037968288
ID_-0.510_29.290_2021_24,4.5017911,77.67167359449466,24.0,2021.0,0.1181797520386996,4.377784993333333,-0.51,4.5951552,4.174563215527329,4.108653964
ID_-0.510_29.290_2021_25,4.4588325,77.25668500530041,25.0,2021.0,0.1204622080476644,4.377784993333333,-0.51,4.521273,4.28651735335504,4.097437344
ID_-0.510_29.290_2021_26,4.51090095,77.30978998388008,26.0,2021.0,0.117851666153799,4.377784993333333,-0.51,4.4686694,4.26068471371901,4.243519490000001
ID_-0.510_29.290_2021_27,4.43220905,75.59777316005332,27.0,2021.0,0.1185112083165572,4.377784993333333,-0.51,4.4108768,4.286922520626157,4.1507004916
ID_-0.510_29.290_2021_28,4.3659153,75.09555228410815,28.0,2021.0,0.1182174444439494,4.377784993333333,-0.51,4.2935534,4.270213196463274,4.1364743504
ID_-0.510_29.290_2021_29,4.36765265,74.16280320718602,29.0,2021.0,0.1181467269630624,4.377784993333333,-0.51,4.2972956,4.293674489402613,4.1362250404
ID_-0.510_29.290_2021_30,4.33337645,74.62503885481237,30.0,2021.0,0.1175994573989496,4.377784993333333,-0.51,4.2626305,4.2820748882841695,4.1046420768
ID_-0.510_29.290_2021_31,4.6884406,78.12677043099477,31.0,2021.0,0.1188959003926676,4.377784993333333,-0.51,4.7547274,4.227284489353474,4.3078473416000005
ID_-0.510_29.290_2021_32,4.6298770000000005,77.52143436297234,32.0,2021.0,0.1188854345248799,4.377784993333333,-0.51,4.622899,4.205135837142842,4.32154886
ID_-0.510_29.290_2021_33,4.5958052,77.28367400556317,33.0,2021.0,0.1189824650527285,4.377784993333333,-0.51,4.6112924,4.280286011895534,4.2688563760000005
ID_-0.510_29.290_2021_34,4.577075000000001,77.7922607366516,34.0,2021.0,0.1169378615307698,4.377784993333333,-0.51,4.574137,4.263370237559042,4.2685721160000005
ID_-0.510_29.290_2021_35,4.715468733333334,79.20056681238277,35.0,2021.0,0.119736534730693,4.377784993333333,-0.51,4.614078,4.400255337507147,4.492483718
ID_-0.510_29.290_2021_36,4.685423533333334,79.36668999785084,36.0,2021.0,0.1197008001612344,4.377784993333333,-0.51,4.782577,4.9024424650449525,4.3629432672
ID_-0.510_29.290_2021_37,4.6907671,79.98549170693762,37.0,2021.0,0.1189324243875016,4.377784993333333,-0.51,4.8733826,4.70025289984051,4.3043569084
ID_-0.510_29.290_2021_38,4.687648533333333,80.84332628770402,38.0,2021.0,0.119396969424601,4.377784993333333,-0.51,4.7891746,4.52325486861465,4.38731078
ID_-0.510_29.290_2021_39,4.5632974,86.38816527850892,39.0,2021.0,0.1197432092094605,4.377784993333333,-0.51,4.6036496,3.938364318068774,4.2918844184000005
ID_-0.510_29.290_2021_40,4.439162433333333,103.58734888466331,40.0,2021.0,0.1186059723323526,4.377784993333333,-0.51,4.506435,4.071962392391213,4.1807596352
ID_-0.510_29.290_2021_41,4.4333536,106.89937804058094,41.0,2021.0,0.1180931469458225,4.377784993333333,-0.51,4.5362616,3.897338277272553,4.107456064400001
ID_-0.510_29.290_2021_42,4.4931133333333335,110.4023145634342,42.0,2021.0,0.1175775345193564,4.377784993333333,-0.51,4.565994,4.002045430102927,4.227447616
ID_-0.510_29.290_2021_43,4.5307643,115.2115459006212,43.0,2021.0,0.1170181582371314,4.377784993333333,-0.51,4.629182,4.643198745680772,4.291735578
ID_-0.510_29.290_2021_44,4.4251524,81.1444974591727,44.0,2021.0,0.1177216887849096,4.377784993333333,-0.51,4.6002717,3.7114609691247913,4.127845242
ID_-0.510_29.290_2021_45,4.477663066666668,81.83137259384681,45.0,2021.0,0.1176193860280349,4.377784993333333,-0.51,4.6520076,3.699827772420053,4.1780416436
ID_-0.510_29.290_2021_46,4.5040811,82.32228473393923,46.0,2021.0,0.1170226198868106,4.377784993333333,-0.51,4.6414285,3.842797288795522,4.2486667396
ID_-0.510_29.290_2021_47,4.5865778,83.48418830575707,47.0,2021.0,0.1156853652009337,4.377784993333333,-0.51,4.743777,3.864923904821912,4.3192220288000005
