ID_LAT_LON_YEAR_WEEK,emission,pred_1_train,pred_1,emission_1
ID_-0.510_29.290_2021_17,3.9489975,4.665412508950738,3.8026547432845996,0.1463427567154003
ID_-0.510_29.290_2021_18,4.240205,4.707316358199277,4.142361620464583,0.09784337953541655
ID_-0.510_29.290_2021_19,4.150236,4.651300180409923,4.134806018401777,0.015429981598222398
ID_-0.510_29.290_2021_20,4.26922,4.538345701884002,4.377553562455209,-0.10833356245520953
ID_-0.510_29.290_2021_21,4.3166842,4.133653215531948,4.45160196094494,-0.13491776094493968
ID_-0.510_29.290_2021_22,4.6027136,4.1592205907529065,4.304012780064195,0.29870081993580566
ID_-0.510_29.290_2021_23,4.568914,4.18403085345863,4.615673138695621,-0.04675913869562098
ID_-0.510_29.290_2021_24,4.5951552,4.174563215527329,4.361603951666028,0.23355124833397145
ID_-0.510_29.290_2021_25,4.521273,4.28651735335504,4.629657740148387,-0.10838474014838706
ID_-0.510_29.290_2021_26,4.4686694,4.26068471371901,4.2671666372407095,0.20150276275929002
ID_-0.510_29.290_2021_27,4.4108768,4.286922520626157,4.004072333430326,0.40680446656967373
ID_-0.510_29.290_2021_28,4.2935534,4.270213196463274,3.8959931364089835,0.3975602635910169
ID_-0.510_29.290_2021_29,4.2972956,4.293674489402613,3.9199033494482203,0.3773922505517797
ID_-0.510_29.290_2021_30,4.2626305,4.2820748882841695,3.8922488329660396,0.3703816670339606
ID_-0.510_29.290_2021_31,4.7547274,4.227284489353474,4.17200535233194,0.5827220476680601
ID_-0.510_29.290_2021_32,4.622899,4.205135837142842,4.2938896140446365,0.3290093859553638
ID_-0.510_29.290_2021_33,4.6112924,4.280286011895534,4.489863786430105,0.1214286135698952
ID_-0.510_29.290_2021_34,4.574137,4.263370237559042,4.729892820358969,-0.1557558203589684
ID_-0.510_29.290_2021_35,4.614078,4.400255337507147,4.834305475385242,-0.2202274753852418
ID_-0.510_29.290_2021_36,4.782577,4.9024424650449525,4.826784280460917,-0.04420728046091682
ID_-0.510_29.290_2021_37,4.8733826,4.70025289984051,4.814615885470836,0.058766714529164155
ID_-0.510_29.290_2021_38,4.7891746,4.52325486861465,4.869384466087972,-0.08020986608797198
ID_-0.510_29.290_2021_39,4.6036496,3.938364318068774,4.961703922653765,-0.35805432265376513
ID_-0.510_29.290_2021_40,4.506435,4.071962392391213,4.677329014270254,-0.17089401427025397
ID_-0.510_29.290_2021_41,4.5362616,3.897338277272553,4.6436599927648325,-0.10739839276483298
ID_-0.510_29.290_2021_42,4.565994,4.0020454301029265,4.772712057966125,-0.20671805796612475
ID_-0.510_29.290_2021_43,4.629182,4.643198745680772,4.666786829618898,-0.037604829618897995
ID_-0.510_29.290_2021_44,4.6002717,3.7114609691247913,4.760634341368989,-0.16036264136898826
ID_-0.510_29.290_2021_45,4.6520076,3.6998277724200532,4.970198050246696,-0.31819045024669546
ID_-0.510_29.290_2021_46,4.6414285,3.8427972887955226,4.846212237032024,-0.2047837370320238
ID_-0.510_29.290_2021_47,4.743777,3.8649239048219117,4.790756464597828,-0.04697946459782809
ID_-0.510_29.290_2021_48,4.73688,3.7879715737307684,5.027455221006718,-0.2905752210067174
ID_-0.510_29.290_2021_49,4.687898,3.9058124442949955,5.0019678897811195,-0.3140698897811198
ID_-0.510_29.290_2021_50,4.6074176,3.6903964473048028,4.563852313640408,0.043565286359592115
ID_-0.510_29.290_2021_51,4.470275,3.865634429613368,4.839865402978968,-0.36959040297896806
ID_-0.510_29.290_2021_52,4.26951,4.205284739254742,4.771527448277685,-0.5020174482776847
ID_-0.528_29.472_2021_17,3.9166071,4.839849664744696,4.09329764866272,-0.17669054866271994
ID_-0.528_29.472_2021_18,4.2034917,4.79292035246721,3.9975986211807273,0.20589307881927255
ID_-0.528_29.472_2021_19,4.0410075,4.844240411257689,4.13080278647197,-0.08979528647197021
ID_-0.528_29.472_2021_20,4.1618795,4.840547368768365,4.362397548982199,-0.2005180489821985
ID_-0.528_29.472_2021_21,4.2472563,4.265696000825798,4.336867938939335,-0.08961163893933488
ID_-0.528_29.472_2021_22,4.444772,4.29217457498919,4.328632028910486,0.11613997108951413
